英吉利语,现代白话,先秦文言,先秦文言略言（同全言则用“-”）
Strong Pull,强力牵引,强引,-
Displacement,置换反应,置换,-
Gem Reckoning,宝石清算,玉算,-
Mox Power,玛珂力量,玛珂威,-
Mox Health,玛珂生命,玛珂命,-
Candle Proximity,烛火临近,近烛,-
Murder Power,杀戮之力,戮威,-
Spell Power,法术力量,术威,-
Counterbattery Power,反击力量,反击威,-
Master Magnus,至尊大师,至尊大师,-
Head of Emerald,绿宝石之首,绿玉首,-
Head of Ruby,红宝石之首,红玉首,-
Head of Sapphire,蓝宝石之首,蓝玉首,-
Heads of Void,虚空之首,虚首,-
Moon Shards,月之碎片,月屑,-
Goobert,沽伯特,黏伯特,-
Goo,黏液,黏胶,-
Scarecrow,稻草人,蒭人,-
Scarecrow Twins,双子稻草人,双蒭人,-
Stim Sage,强化贤者,激贤,-
Enchanted Spear,附魔长矛,祝矛,-
Portrait Mage,肖像法师,像巫,-
Revitilization,复苏术,复苏术,-
Carnage,屠戮,屠戮,-
Blizzard,暴风雪,暴雪,-
Cyclone,强风咒,旋飙咒,-
Flood,洪流,洪,-
Engulf,吞噬,燔,-
Ethereal Gems,虚空宝石,灵玉,-
Cursed Skull,诅咒头骨,咒颅,-
Potion,魔药,药,-
Gnome,侏儒,侏,-
Scuba Gnome,潜水侏儒,潜侏,-
Sacrifical Grounds,献祭之地,祀地,-
Enchanted Grounds,附魔之地,附地,-
replica brush,仿制画笔,摹笔,-
Weaker Bleach,弱漂白剂,弱漂液,-
Stronger Opponent,更强对手,强敌,-
Tiny Spellbook,微型法术书,小咒书,-
Armored Shell,坚甲之壳,坚甲,-
Magickal Paint,魔法涂料,术丹,-
Fleeting Life,转瞬生命,浮命,-
Intrusive Presence,侵扰之影,侵影,-
Master Bosses,大师头目,大师诸魁,-
Gem Dependant Starters,宝石依赖的开局,依玉初牌,-
Awakened,觉醒的,觉,-
Bone Pile,一堆骨头,堆骨,-
Pharmacist,药剂师,药师,-
Skeleader,亡灵领袖,骨魁,-
Threaded Skeleton,欺诈者,悬丝骨,-
Undead Elk,不死麋鹿,尸麋,-
Undead Moose,不死驼鹿,尸驼鹿,-
Undead Predator,劫掠亡灵,亡猎者,-
Undead RedHart,不死红鹿,尸红鹿,-
Undead Snapper,鳄龟残骸,鳄龟骸,-
Ferry Crow,渡灵骨鸦,渡灵鸦,-
Headless Man,无头人,无首人,-
Devouring Soul,噬魂亡灵,噬魂,-
Amalgam Pup,缝合兽幼崽,缝兽仔,-
Dud Egg,废物蛋,废卵,-
Annoying Dog,神烦狗,烦犬,-
Arctic Fox,北极狐,北狐,-
Bone Dog,寻骨小狗,寻骨狗,-
The Loky,狼王洛基,洛基狼王,-
Pastoral Dog,中华田园犬,田园犬,-
Spotted Hyena,斑鬣狗,斑鬣犬,-
Puma,美洲狮,山狮,-
Puma Cub,美洲狮幼崽,山狮仔,-
Axolotl Tail,美西螈尾巴,螈尾,-
Carp,鲤鱼,鲤,-
Coral Polyp,珊瑚虫,珊虫,-
Globefish,河豚,河鲀,-
Shark Egg,鲨鱼蛋,鲨卵,-
Squidge,鱿鱼,乌贼,-
Potato Elk,土豆鹿,薯麋,-
Potato Elk Cub,土豆小鹿,薯麋仔,-
Locust swarms,蝗虫群,蝗群,-
Soldier Ant,军蚁,兵蚁,-
Acorn,橡果,橡实,-
Grizzly Cub,灰熊幼崽,灰熊仔,-
Stunted Grizzly,弱熊,瘠熊,-
Uri,小毛球,乌里,-
Uryli,野人,乌里利,-
Chipmunk,花栗鼠,栗鼠,-
Pushing Mouse,推推鼠,推鼠,-
Rat Cub,鼠崽,鼠仔,-
Buff Frog,变异牛蛙,异蛙,-
God Frog,变异牛蛙神,蛙神,-
Rattler egg,响尾蛇蛋,响尾卵,-
Thorny Devil Tail,刺蜥的尾巴,刺蜥尾,-
Free Rattler egg,免费响尾蛇蛋,无费响尾卵,-
Amalgam Egg,缝合蛋,缝卵,-
Walking Stone,走石,行石,-
Cutting Wings,剪翼者,翦翼,-
Swarm,鸣蝉之夏,蝉聚,-
Terrain Creator,地形创建者,造地,-
Chinese Loong,中国龙,华龙,-
God long,降世神龙,神龙,-
Burning Egg,不死鸟蛋,凤卵,-
Ling Bird,翎羽,翎鸟,-
Super Chiking,超级鸡,成神鸡,-
God Chiking,神之鸡,神鸡,-
Broken Hawk,破碎鹰,残鹰,-
Broken Raven,破碎渡鸦,残渡鸦,-
Broken Grizzly,破碎灰熊,残灰熊,-
Broken Grizzly Cub,破碎灰熊幼崽,残灰熊仔,-
Broken Hunter,破碎猎人,残猎者,-
Broken Stoat,破碎白鼬,残白鼬,-
Broken Wolf,破碎狼,残狼,-
Broken Wolf Cub,破碎狼崽,残狼仔,-
Broken Elk,破碎麋鹿,残麋,-
Broken Adder,破碎蝰蛇,残蝰,-
Hell Barghest,地狱犬魔,狱犬魔,-
Furry Man,毛茸茸的人,毛人,-
Naughty dog,捣蛋狗,顽犬,-
Rabid Dog,疯狗,狂犬,-
Zuo Dog,大佐狗,佐犬,-
Jun Zuo Dog,俊佐狗,俊佐犬,-
Awakened Yin Tiger,觉醒的寅虎,觉寅虎,-
Doom Trepang,毁灭海参,灭海参,-
Paper Boat,纸船,纸舟,-
The Jackalop with unlimited appreciation is a destroyer of ecology.,无限增殖的鹿角兔乃生态的破坏者。,无穷孳生之角兔，生态之贼也。,-
Rockivores,源石虫,食石虫,-
Gluttonous Stoat,暴食白鼬,饕白鼬,-
Man with Big Life,小人物大生活,小身大命,-
Mini Moon,微型月亮,微月,-
God Moon,神之月,神月,-
Lunar debris,月之碎片,月屑,-
Picky Bear,挑剔熊,择食熊,-
Strengthen Eagle,强化猎鹰,壮鹰,-
Bomb Mechanical Dog,炸弹机械犬,爆机犬,-
Bomb Mechanical Dog 2.0,炸弹机械犬2.0,爆机犬二,-
Smoke Knight,雾隐暗骑,烟骑,-
Awakened Smoke Knight,觉醒的雾隐暗骑,觉烟骑,-
Pirate Crab,海盗蟹,盗蟹,-
Echo of MaoDie,耄耋残像,耄耋余响,-
Killer Beehive,杀手蜂巢,杀蜂巢,-
Fallen Hugag,倒下的胡加格,仆胡加格,-
World Turtle,世界龟,负世龟,-
Cerberus,地狱三头犬,三头狱犬,-
Goose and Duck,鹅与鸭,鹅鸭,-
Hellcat,地狱猫,狱猫,-
Cactus cat,仙人掌猫,仙掌猫,-
Elder Goose and Elder Duck,长老鹅与长老鸭,长老鹅鸭,-
Bamboo Hat Panda,斗笠熊猫,笠熊猫,-
Feathered Serpent,白羽蟒,羽蛇,-
VeggieMew,菜喵喵,菜喵,-
VeggieDull,菜呆呆,菜呆,-
Cowardly Aquasquirrel,胆小水松鼠,怯水松鼠,-
Frail Squirrel,脆弱松鼠,脆松鼠,-
Injured Goat,病患山羊,伤羊,-
Nightmare Aquasquirrel,梦魇水松鼠,魇水松鼠,-
Amoeba Squirrel,阿米巴松鼠,阿米巴松鼠,-
Annoying Aquasquirrel,恼人水松鼠,烦水松鼠,-
Bloody Stone,献祭之石,血石,-
Explosion Aquasquirrel,自爆水松鼠,爆水松鼠,-
Explosion Squirrel,自爆松鼠,爆松鼠,-
Killer Bee,杀手蜂,杀蜂,-
Quality Squirrel,优质松鼠,良松鼠,-
Reach Squirrel,高跳松鼠,跃松鼠,-
Sacrificable Boulder,可祭磐石,可祀磐,-
Tail Squirrel,长尾松鼠,尾松鼠,-
Hawk,鹰,鹰,-
Squirrel Ball,松鼠球,松鼠球,-
Ruby Squirrel,红宝石松鼠,红玉松鼠,-
Emerald Squirrel,绿宝石松鼠,绿玉松鼠,-
Sapphire Squirrel,蓝宝石松鼠,蓝玉松鼠,-
Inscryption: Beastly Card Expansion Pack,邪恶冥刻：野兽卡牌扩展包,《冥勒》：兽牌扩包,-
Inscryption: Techno Card Expansion Pack,邪恶冥刻：科技卡牌扩展包,《冥勒》：机牌扩包,-
Inscryption: Undead Card Expansion Pack,邪恶冥刻：死亡卡牌扩展包,《冥勒》：亡牌扩包,-
Inscryption: Magickal Card Expansion Pack,邪恶冥刻：魔法卡牌扩展包,《冥勒》：术牌扩包,-
Miscellaneous Community Cards,社区杂项卡牌,社区杂牌,-
Inscryption: Beastly Encounters,邪恶冥刻：野兽遭遇战,《冥勒》：兽遇战,-
Unsorted Regions and Encounters,未分类区域与遭遇战,未分区域与遇战,-
Eri Card Expansion,艾瑞卡牌扩展包,艾瑞牌扩包,-
Ara's Card Expansion,阿拉的卡牌扩展包,阿拉牌扩包,-
Hallownest Expansion,圣巢扩展包,圣巢扩包,-
Bitty's Regions,比蒂的区域扩展包,比蒂区域扩包,-
Eri's Card Pack Encounters,艾瑞的卡包遭遇战,艾瑞牌包遇战,-
Kaycee's P03 Expansion Pack #1,凯茜的P03扩展包#1,凯茜P03扩包其一,-
Kaycee's P03 Expansion Pack #2,凯茜的P03扩展包#2,凯茜P03扩包其二,-
Kaycee's P03 Encounter Expansion #1,凯茜的P03遭遇战扩展#1,凯茜P03遇战扩包其一,-
Kaycee's P03 Encounter Expansion #2,凯茜的P03遭遇战扩展#2,凯茜P03遇战扩包其二,-
Kaycee's P03 Expansion Pack #3,凯茜的P03扩展包#3,凯茜P03扩包其三,-
Kaycee's P03 Encounter Expansion #3,凯茜的P03遭遇战扩展#3,凯茜P03遇战扩包其三,-
Aga's Magnificus Expansion,Aga的蔓尼菲科模组扩展,Aga蔓尼菲科扩包,-
Smughtro's MagMod Expansion,Smughtro的蔓尼菲科模组扩展,Smughtro蔓尼菲科扩包,-
Revenant Mod Card Pack,复生亡灵模组卡包,复生亡灵牌包,-
Trader,毛皮商,革商,-
Trapper,猎人,猎夫,-
Sawyer,索耶,锯者,-
Training Dummy,训练假人,习偶,-
Lonely Wizard,孤独巫师,孤巫,-
Prospector,矿工,矿夫,-
Circuit Maker,电路绘制,成路,-
Claw,利爪,爪,-
Clawed,利喙尖爪,生爪,-
Clawing Hand,利爪之手,爪手,-
Collateral Damage,连带伤害,旁伤,-
Collector,收藏家,敛者,-
Commander,指挥官,将令,-
Double Strike When Powered,充能双击,得能双击,-
Gift When Powered,充能奖励,得能赐,-
Morsel When Powered,充能一口之量,得能一脔,-
Omnipotent When Powered,充能全向打击,得能遍击,-
Powered Quills,充能双重刺甲,得能利棘,-
Print When Powered,充能玛珂绘制,得能印玉,-
Repulsive When Powered,充能厌恶情绪,得能可憎,-
Scavenge When Powered,充能拾荒,得能拾荒,-
Splash Damage When Powered,充能溅射,得能溅伤,-
Stimulate When Powered,充能刺激,得能激哉,-
Billowing Bond,空袭契约,翔契,-
Elder Conduit,宝石骷髅管道,玉骨渠,-
Emerald Conduit,绿宝石管道,绿玉渠,-
Friendship Bond,友谊契约,友契,-
Grave Conduit,掘骨管道,骨渠,-
Gun Conduit,哨兵管道,铳渠,-
Hot Conduit,灼热管道,灼渠,-
Loot Conduit,劫掠管道,掠渠,-
Malfunctioning Conduit,故障管道,故渠,-
Meaningless Bond,空无契约,虚契,-
Nano Conduit,纳米管道,甲渠,-
Ruby Conduit,红宝石管道,红玉渠,-
Sapphire Conduit,蓝宝石管道,蓝玉渠,-
Stim Conduit,刺激管道,激渠,-
Tender Bond,温柔契约,柔契,-
Thorny Conduit,尖刺管道,棘渠,-
Confusion,颠三倒四,乱,-
Copier,影印设备,摹印,-
Coward,贪生怕死,怯,-
Crooked Strike Left,偏左打击,偏左击,-
Crooked Strike Right,偏右打击,偏右击,-
Crossbones,十字骨,十字骨,-
Crunchy,酥脆,脆,-
Cute,可爱,可人,-
Data Breach,数据泄露,泄机,-
Deadringer,死铃使者,死铃,-
Death Snatch,死亡掠夺,死掠,-
Decked Out,全副武装,具装,-
Defiler,污染者,污者,-
Desperate,孤注一掷,穷搏,-
Deus Hoof,鹿神敬拜,鹿神,-
Dexter Strike,右前打击,右前击,-
Diagonal Strike,对角打击,斜击,-
Disembowel,开膛破肚,剖腹,-
Distraction,魂不守舍,诱替,-
Diver,潜行者,潜者,-
Divisibility Strike,可除性打击,奇偶击,-
Docile,温顺,驯,-
Doomed,命定者,定死,-
Double Tap,协同攻击,并击,-
Downdraft,下沉气流,下风,-
Draw,绘牌之手,引,-
Dripping,流连,滴行,-
Drop,得手投弃,引即陈,-
Duppelgang,双重奏,双影,-
Eager,渴望,亟,-
Easy Pickings,轻而易举,易取,-
Emancipation,脱胎换骨,脱化,-
Emerald Core,绿宝石核芯,绿玉核,-
Emerald Heart,绿宝石之心,绿玉心,-
Enchanting,附魔,赋印,-
Endangered,濒危,垂危,-
Enemy Lines,敌军战线,敌阵,-
Energy Dependent,能量依赖,恃能,-
Enraged,愤怒,愤,-
Entangle,盘根错节,缠,-
Erratic,飘忽不定,无恒,-
Esprit De Corps,团队精神,同心,-
Even Strike,偶数打击,偶列击,-
Exceptional Sacrifice,传说祭品,奇祭,-
Bloodstarved Beast,嗜血狂兽,嗜血兽,-
Exploding Corpse,尸爆,尸爆,-
Expulsion,呕物驱逐,吐逐,-
Exsanguination,放血,渫血,-
Eye For Battle,战斗之眼,战目,-
Face To Face,面面相觑,相对,-
Fan Tailed,妖扇之尾,扇尾,-
Fatal Flank,致命侧翼,致翼,-
Fearsome,凶神恶煞,可畏,-
File Explorer,文件管理,探卷,-
Filter Feeder,滤食之物,滤食,-
Firebomb,火焰引爆器,火爆,-
Fire In The Hole,小心炮弹,穴中火,-
Fire Resistant,防火,耐火,-
Flank Blast,侧牌引爆器,侧爆,-
Flea Ridden,跳蚤满身,多蚤,-
Flighty,轻浮,轻扬,-
Fossil Record,化石记录,化石录,-
Frail,脆弱,脆,-
Frail Sacrifice,脆弱献祭,脆祀,-
Freefall,自由落体,坠,-
Friend Finder,找呀找朋友,求友,-
Fringe Strike,边路打击,边击,-
Frog Friend,众蛙之友,蛙友,-
Emerald Dependant,绿宝石依赖,恃绿玉,-
Ruby Dependant,红宝石依赖,恃红玉,-
Sapphire Dependant,蓝宝石依赖,恃蓝玉,-
Gem Shedder,玛珂掉落,遗玉,-
Gem Skeptic,宝石质疑者,疑玉,-
Giant,巨人,巨,-
Gift Bearer,礼品商,怀礼,-
Glitterheart,辉耀之心,辉心,-
Globetrotter,四海为家,周行,-
Gold Digger,掘金者,掘金,-
Gold Rush,淘金热,金潮,-
Gooey,黏液,黏,-
Graveyard Shift,墓地轮班,冢更,-
Gravity,万有引力,引,-
Green Inspiration,绿色灵感,绿感,-
Gut Spewer,呕脏者,吐脏者,-
Harbinger,先驱者,先驱,-
Harts Within,内心之鹿,内鹿,-
Haunter,阴魂不散,留魂,-
Healshield,治疗护盾,疗甲,-
Herald,使节,报者,-
High Powered,高功率,高能,-
Home Run,全垒打,本垒击,-
Hook Line And Sinker,全套诱饵,钩线饵全,-
Hypermorphic,超形态,超形,-
Ignition,点燃,燃,-
Immaculate Form,无瑕形态,无瑕形,-
Immaterial,缥缈之物,无质,-
Immortal Coil,不朽之环,不死环,-
Incontinent,失禁,遗泄,-
Dog Gone,猎犬者,犬克,-
Fowl Play,戏鸟者,鸟克,-
Insectivore,食虫者,食虫,-
Snakebite,捕蛇者,噬蛇,-
Orange Inspiration,橙色灵感,红感,-
Organ Thief,器官盗贼,盗脏,-
Osteoklepty,窃骨术,窃骨,-
Other Side,彼岸,彼岸,-
Painful Presence,痛苦占场,苦临,-
Paralytic,麻痹,痹,-
Parthenogenesis,单性生殖,单生,-
Perfect Form,完美形态,完形,-
Phantasmic,移形换影,幻行,-
Piercing,穿刺,穿,-
Pinnacle Strike,巅峰打击,极击,-
Point Nemo,涨潮者,海极,-
Potent,强力献祭,强祀,-
Preemptive Strike,预先攻击,先击,-
Propagation,传播者,孳,-
Prophecy,预言家,预言,-
Pure Heart,纯净之心,纯心,-
Pushover,软柿子,易殪,-
Put Sentry Here,步哨工程师,置哨于此,-
Quad Strike,四重攻击,四击,-
Quickdraw,快攻,速陈,-
Ranger,突击员,游击,-
Ravenous,贪婪之噬,饕,-
Recharge,蓄势,复能,-
Recycle,回收利用,回用,-
Reflective,镜面反击,映威,-
Regenerator,万象更新,自新,-
Rememberance,纪念之花,追念,-
Remote Controlled,遥控,遥御,-
Reroute,重新定向,易路,-
Resilient,百折不挠,韧,-
Retreat,退却,遁,-
Return Strike,复仇攻击,反击,-
Revolve,时针顺之魂,周旋,-
Ripper,开膛手,剖者,-
Rock Eater,磐石吞噬者,食磐,-
Ruby Core,红宝石核芯,红玉核,-
Running Strike,奔袭打击,奔击,-
Rupture,割裂之触,裂触,-
Sanguine,血祭力量,血威,-
Paralysis,瘫痪,瘫,-
Parasite,寄生虫,寄,-
Pathetic Sacrifice,可悲之血,鄙祭,-
Picky,挑肥拣瘦,择,-
Pierce,隔山打牛,贯,-
Poisonous,剧毒腐蚀,毒,-
Possessor,灵魂附身,附,-
Powerful Possessor,强力附身,强附,-
Predator,掠食者,掠,-
Prideful,骄傲,骄,-
Protector,保护者,佑,-
Puppets gift,木偶之礼,傀礼,-
Superior Sacrifice,史诗祭品,上祭,-
Ram,好战之羊,触,-
Random Strafe,无形的移动,偶移,-
Recoil,后坐力,反震,-
Regen 1,再生,复一,-
Regen 2,双重再生,复二,-
Regen 3,三重再生,复三,-
Regen,神愈再生,尽复,-
Repellant,拒人千里,斥,-
Resistant,抗性提升,耐,-
Resourceful,资源丰富,余用,-
Retaliate,反戈一击,报击,-
Right scratch,右侧爪迹,右爪,-
Rushing march,急行军,疾行,-
Schooling,水袭指导,同潜,-
Shapeshifter,损伤易形,易形,-
Short,短小精悍,短,-
Sickness,疾病肆虐,疾,-
Bone lord 6,骨神,骨王六,-
Sluggish,缓慢,缓,-
Song of sleep,安眠曲,眠歌,-
Spawner,创造性冲刺,生行,-
Stampede,席卷狂潮,驰攻,-
Sticky,如胶似漆,胶,-
Velocity,风驰电掣,迅,-
Strong Wind,强风吹拂,烈风,-
Submerged Ambush,水下伏击,潜伏,-
Swallower,吞噬者,吞,-
Sympathetic,同情,恤,-
Take-Off (Bones),骨驱空袭,骨翔,-
Take-Off (Energy),电驱空袭,能翔,-
Terrified,惊慌失措,骇遁,-
Thick Shell,厚重甲壳,厚甲,-
Bone prince 3,骨后,骨侯三,-
Bone hoarder 3,三重骨礼,藏骨三,-
Tooth Bargain,牙齿交易,齿约,-
Toothpuller,拔牙器,抽齿,-
Tooth Shard,牙齿碎片,齿屑,-
Toxin,混合毒素,毒,-
Toxin (Deadly),致命毒素,死毒,-
Toxin (Sickening),残废毒素,疾毒,-
Toxin (Strength),力量毒素,削威毒,-
Toxin (Vigor),生命毒素,削命毒,-
Trample,践踏,蹂,-
Transform Chicken (Enemy Only),易形鸡（仅敌人）,化鸡（敌惟）,-
Transform Chicken (Loose Cannon),易形鸡（全场）,化鸡（全场）,-
Transform Chicken (Opposing),易形鸡（对位）,化鸡（对位）,-
Transient,昙花一现,旋返,-
Tribal Ally,族群盟友,同属友,-
Tribal Tutor,族群囤积,同属引,-
Tribe Attack,族群攻击,属攻,-
Tribe Health,族群生命,属命,-
Turbulent Waters,混沌水域,湍波,-
Bone prince 2,骨臣,骨侯二,-
Bone hoarder 2,双重骨礼,藏骨二,-
Underdog,扶弱锄强,居下,-
Vicious,凶相毕露,狠,-
Warper,穿场者,越界,-
Wild hunger,狂野饥饿,饕行,-
Withering,凋零,枯,-
Zapper,瘫痪之触,痹触,-
Explosive Squirrel Reproduction,松鼠泛滥,蕃鼠,-
Hauler,运输者,牵,-
Heart Swap,心灵交换,易心,-
Mutual Hire,相互雇佣,相雇,-
Charged Barrage,充能弹幕,充霰,-
Health Roll,生命骰子,命骰,-
Sigil Roll,印记骰子,印骰,-
Wildlife Camera,野兽相机,野影器,-
Dusty Quill,尘埃羽毛笔,尘笔,-
Bleached Brush,漂白之笔,素笔,-
Strong Soul,剽悍之魂,强魂,-
Weak Soul,孱弱之魂,弱魂,-
Nonexistent Soul,缥缈之魂,无魂,-
Pyrophobia,恐火症,惧火,-
Pyrophobia (Attack),恐火症（力量）,惧火（威）,-
Pyrophobia (Health),恐火症（生命）,惧火（命）,-
Repulsion,排斥,斥,-
Mysterious Mushrooms,神秘蘑菇,异蕈,-
Counter Attack,反伤刺甲,反刺,-
Mirror Counter,镜面刺甲,镜刺,-
Board Shifter,全场移相,移局,-
Board Shifter (Owner),友军移相,移友局,-
Board Shifter (Opposing),敌军移相,移敌局,-
Deathbell,丧钟,丧钟,-
Clockwise,顺时针,顺时,-
Stubborn,顽固不化,固,-
Fleeting,稍纵即逝,暂,-
Soul Link,灵魂链接,同魂,-
Hollow Draw,空洞抽取,虚引,-
Hollow Barrage,空洞弹幕,虚霰,-
Gem Phobic,宝石恐惧,惧玉,-
Foolhardy,鲁莽,妄,-
Jumper,跳跃者,跃,-
Super Sprinter,冲刺狂人,疾趋,-
Eggist,蛋之艺术,生卵,-
Fir Caller,唤林者,召杉,-
Flipper,浮光掠影,易数,-
Fleeting Draw,消逝之手,暂引,-
Outcast,流浪者,还列,-
Hollow Repeater,空洞中继,虚继,-
Replenish,买一送一,续引,-
Target Swap,目标交换器,易数指,-
Sacrificial Growth,祭祀生长,祀长,-
Ruby Transformer,红宝石易形,红玉化,-
Gemify,宝石增益,玉益,-
Corpse,尸体,尸,-
Chrysomallos,克律索马罗斯,克律索马罗斯,-
Golden Ram,金羊,金羊,-
caravan,队伍/车队,行旅,-
first mate,大副,大副,-
supplies,补给/物资,资用,-
Environmental Effects,环境效果,环境之效,-
mud,淤泥,泥,-
hailstorm,冰雹风暴,雹暴,-
cliffside,悬崖边缘/陡崖,绝崖,-
fungal mass,真菌团块,蕈团,-
dynamite,炸药,炸药,-
Blood Moon,血月,血月,-
blizzard,暴风雪,暴雪,-
avalanche,雪崩,雪崩,-
obelisk,方尖碑,方尖碑,-
flood,洪水,洪水,-
breeze,微风,微风,-
Flash Growth,急速生长,急长,-
Ourobot,机械衔尾蛇,机衔尾蛇,-
scrapyard,废料场/坟场,机冢,-
Undead Parrot,不死鹦鹉,不死鹦鹉,-
Ascender's Bane,攀登者的祸根,陟者殃,-
Champions,优胜冠军,冠军,-
Famine,饥荒,饥,-
Runaway Side Deck,失控副牌,奔副牌,-
The Golden Fleece,金色羊皮,金革,-
Harder Bosses,更强的头目,强魁,-
True Pirate,真正的海盗,真海盗,-
Extra Lives,额外生命,余命,-
Botched Experiments,拙劣实验,拙试,-
Old Fecundity,无尽丰产,旧蕃息,-
Mulligan,重新尝试,更引,-
Reverse Scales,反向天平不平,反倾衡,-
Shocked Starters,惊魂未定的开局,初牌瘫,-
Sprintmaggedon,奔腾灾难,疾行灾,-
Traveling Ouroboros,旅行衔尾蛇,行衔尾蛇,-
Unfair Hand,不公之手,偏手,-
Explosive Noise,爆炸噪音,爆响,-
Aquatic Starters,水袭的开局,初牌潜,-
Unspirited Starters,失魂的开局,初牌弱魂,-
Weak Starters,虚弱的开局,初牌弱,-
Bright Red Champion,鲜红冠军,绛冠军,-
Cyan Champion,青色冠军,青冠军,-
Fragile,虚弱,脆,-
Green Champion,绿色冠军,绿冠军,-
Light Blue Champion,淡蓝冠军,淡蓝冠军,-
Light Green Champion,浅绿冠军,浅绿冠军,-
Magenta Champion,品红冠军,品红冠军,-
Muddy,污泥浊浪,泥,-
Sacrificial Slab,献祭石板,祀石,-
Orange Champion,橙色冠军,橙冠军,-
Seaworthy,适航状态,耐潜,-
Red Champion,红色冠军,赤冠军,-
Avalancher,雪崩,崩,-
White Champion,白色冠军,白冠军,-
Yellow Champion,黄色冠军,黄冠军,-
Minicello,迷你柠檬琴号,小琴舟,-
Attack Up,攻击强化,益攻,-
Attack Down,攻击削弱,损攻,-
Cataclysm,灭世灾变,大坏,-
Direct Damage,直接伤害,直伤,-
Direct Heal,直接治疗,直疗,-
Draw Twice,双倍抽牌,再引,-
Gain Control,夺取控制,夺御,-
Give Sigils,赋予印记,予印,-
Give Stats,赋予属性,予数,-
Give Stats and Sigils,赋予属性与印记,予数与印,-
Spell (Global),法术（全局）,术（周）,-
Spell (Global, Instant),法术（全局，瞬发）,术（周，立发）,-
Spell (Targeted),法术（定向）,术（指）,-
Command (Global),命令（全局）,令（周）,-
Command (Global, Instant),命令（全局，瞬发）,令（周，立发）,-
Command (Targeted),命令（定向）,令（指）,-
Urch1n Cell,机械海胆电池,机海胆匣,-
Junk,废料堆,废堆,-
S4LM0N,机械鲑鱼,机鲑,-
Seed,种子,种,-
Trajectile Quills,狙击刺甲,射棘,-
Trampler,撼地者,蹂者,-
Transformer,易形者,易形者,-
Transmogrification,变形术,化形术,-
Trapjaw,陷阱颚,阱颌,-
Trifling Sacrifice,精良祭品,二血祭,-
Trio,禁忌三重奏,三身,-
Triple Strike,三重攻击,三击,-
Trophy Hunter,战利品猎手,猎魁,-
Tuck And Roll,缩滚乐,伏滚,-
Tug,生拉硬拽,曳,-
Twin Bond,双生契约,双契,-
Twister,星轮变换,旋变,-
Unbalanced Leadership,失衡领袖,偏帅,-
Under Pressure,压力之下,压裂,-
Unfocused Strike,胡乱打击,妄击,-
Unhammerable,不可锤击,不可锤,-
Unlucky,命途多舛,薄命,-
Unspeakable,不可言喻,不可言,-
Unstable Gems,不稳定宝石,危玉,-
Valuable,吉光片羽,值金,-
Vampiric,吸血鬼,饮血,-
Venator,易形猎手,猎变,-
Vessel Shedder,容器掉落,遗皿,-
Visceral,感官异能,余血化骨,-
Viva La Revolution,革命万岁,变革万岁,-
Waterbird,水鸟,水禽,-
Wavering Strike,摇摆打击,摆击,-
Weaver,织网者,织者,-
Weird Latch,无形传花,怪传花,-
Wild Shape,狂野易形,野形,-
Wimpy,怯战,怯弱,-
Wing Clipper,碎翼者,翦翼者,-
Wingrider,骑翼者,乘翼者,-
Woodsie Lord,法树领主,术松主,-
Wriggle,蠕形螨动,蠕动,-
Writhe,垂死挣扎,挣命,-
Sharpen,磨砺,砺,-
Spellsword,咒术之剑,术剑,-
Trained Flier,飞行能手,习翔,-
Trained Swimmer,游泳能手,习潜,-
Upgrade Subroutine,升级子程序,升程,-
Aculeate Grip,蛰刺握,螫攫,-
Allure,媚骨天生,媚引,-
Annihilation,湮灭,殄灭,-
Ant Guardian,蚂蚁守护者,护蚁,-
Antimagic,反魔法,反术,-
Armortify,装甲化,被甲,-
Artistic License,艺术许可,艺纵,-
Backup,数据备份,后继,-
Bandage Weaver,绷带编织者,纫帛者,-
Bastion,堡垒,垒,-
Batch Delete,批量删除,并删,-
Bejeweled,宝石迷阵,连玉,-
Bewilder,扑朔迷离,惑,-
Bifurcated When Gempowered,橙色兵分,得玉歧击,-
Bisection,二分法,二裂,-
Bleach,漂白剂,漂液,-
Bloated,肥美多汁,丰血,-
Blood Artist,血液艺术家,血绘者,-
Blood Dependent,血液依赖,恃血,-
Blood From Stone,石中取血,石出血,-
Blood Gusher,鲜血喷涌,涌血,-
Blood Guzzler,鲜血吞噬者,饮血者,-
Blood Magic,血魔法,血术,-
Bloodrunner,血行者,血行,-
Blue Inspiration,蓝色灵感,蓝悟,-
Bombjuration,爆弹咒,爆召,-
Bombs Away,炸弹空投,投爆,-
Bone Dependent,骨头依赖,恃骨,-
Bone Duke,骨公爵,骨公,-
Bonelust,骨欲,嗜骨,-
Bone Spurs,骨刺,骨刺,-
Burning,燃烧,焚,-
Buzz Off,蜉蝣冲击,遗蜉,-
Call To Arms,号召行动,号战,-
Card Shedder,牌堆剥离者,遗牌,-
Caustic,物腐毒生,腐毒,-
Center Strike,中心打击,中击,-
Chaos Strike,混沌打击,乱击,-
Cheater,欺诈者,诈者,-
Set Ablaze,点燃,燎,-
One Time Spell,一次性法术,一度术,-
Cursed,诅咒,诅,-
Cold to the Touch,冰封之触,寒触,-
Frozen,冰封,冰封,-
Strong Pull,强力牵引,强引,-
Displacement,置换反应,置换,-
Gem Reckoning,宝石清算,玉算,-
Mox Power,玛珂力量,玛珂威,-
